"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
" 31669 (1999 JT6)",2.137,0.5776,9.54,78.77,39.10,16.09,Y,,31669,97.39,0.000451,,60600
" 35107 (1991 VH)",1.137,0.1442,13.91,139.34,206.96,16.91,Y,,35107,100.55,0.0255,0.929,60600
" 35396 (1997 XF11)",1.442,0.4837,4.10,213.65,103.04,17.01,Y,,35396,272.13,0.000394,0.704,60600
" 37638 (1993 VB)",1.913,0.5199,5.08,145.56,323.20,19.28,Y,,37638,236.56,0.000275,,60600
" 37655 Illapa (1994 PM)",1.478,0.7525,18.03,139.52,303.90,17.85,Y,,37655,254.99,0.025,,60600
" 41429 (2000 GE2)",1.593,0.5553,2.17,351.91,297.20,20.66,Y,,41429,42.91,0.0109,0.204,60600
" 52760 (1998 ML14)",2.409,0.6233,2.43,338.68,20.37,17.50,Y,,52760,347.09,0.0166,1.0,60600
" 52768 (1998 OR2)",2.38,0.5755,5.88,26.94,174.59,16.04,Y,,52768,81.21,0.00979,1.75,60600
" 53319 (1999 JM8)",2.724,0.6414,13.84,133.62,166.80,15.36,Y,,53319,228.77,0.0245,7.,60600
" 53426 (1999 SL5)",1.923,0.5391,22.77,239.06,43.36,17.19,Y,,53426,167.90,0.0244,,60600
" 53429 (1999 TF5)",2.022,0.6410,26.78,199.16,64.09,18.94,Y,,53429,281.57,0.0482,,60600
" 53550 (2000 BF19)",1.495,0.4196,7.17,313.14,324.95,19.06,Y,,53550,67.25,0.046,,60600
" 53789 (2000 ED104)",1.371,0.2692,40.78,190.02,218.35,17.34,Y,,53789,236.89,0.0482,0.843,60600
" 65690 (1991 DG)",1.428,0.3632,11.14,180.10,63.37,19.06,Y,,65690,212.30,0.0402,,60600
" 65717 (1993 BX3)",1.395,0.2810,2.81,174.75,290.95,20.87,Y,,65717,104.62,0.0481,,60600
" 65803 Didymos (1996 GT)",1.643,0.3833,3.41,72.99,319.60,18.11,Y,,65803,339.93,0.0398,0.78,60600
" 65909 (1998 FH12)",1.091,0.5397,3.56,108.59,284.51,19.30,Y,,65909,196.93,0.0126,,60600
" 67381 (2000 OL8)",1.321,0.5430,10.67,294.84,266.96,19.80,Y,,67381,38.01,0.0177,,60600
" 68216 (2001 CV26)",1.32,0.3267,17.99,18.13,48.74,16.62,Y,,68216,301.79,0.0241,0.994,60600
" 68346 (2001 KZ66)",1.507,0.4166,16.70,219.37,140.29,16.93,Y,,68346,133.79,0.0386,0.736,60600
" 68372 (2001 PM9)",1.618,0.4160,8.11,252.96,322.33,18.97,Y,,68372,157.97,0.00376,,60600
" 68548 (2001 XR31)",1.707,0.4368,22.72,302.02,24.71,16.57,Y,,68548,186.50,0.0247,1.182,60600
" 68950 (2002 QF15)",1.057,0.3443,25.15,236.21,255.57,16.39,Y,,68950,54.57,0.00746,1.650,60600
" 69230 Hermes (1937 UB)",1.655,0.6239,6.07,34.05,92.90,17.68,Y,,69230,279.39,0.00431,,60600
" 85182 (1991 AQ)",2.22,0.7777,3.12,339.40,243.23,17.13,Y,,85182,59.27,0.0161,1.1,60600
" 85236 (1993 KH)",1.234,0.3110,12.81,54.36,293.82,18.75,Y,,85236,252.62,0.000862,,60600
" 85585 Mjolnir (1998 FG2)",1.298,0.3563,4.08,2.31,95.42,21.64,Y,,85585,37.53,0.0218,,60600
" 85640 (1998 OX4)",1.58,0.4859,4.52,299.57,117.30,21.14,Y,,85640,15.27,0.00102,,60600
" 85713 (1998 SS49)",1.923,0.6388,10.79,40.95,103.13,15.78,Y,,85713,239.57,0.0039,3.484,60600
" 85774 (1998 UT18)",1.403,0.3288,13.59,64.62,50.15,19.10,Y,,85774,178.64,0.0363,0.939,60600
