"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"206378 (2003 RB)",1.788,0.4389,6.72,317.13,44.07,18.76,Y,,206378,287.00,0.0449,0.376,60600
"206910 (2004 NL8)",2.574,0.7156,5.02,150.90,278.14,17.28,Y,,206910,302.11,0.0213,,60600
"207398 (2006 AS2)",2.091,0.6419,2.60,125.63,80.07,20.38,Y,,207398,49.89,0.00992,,60600
"207945 (1991 JW)",1.039,0.1186,8.71,53.85,301.95,19.60,Y,,207945,92.10,0.0201,0.423,60600
"208115 (2000 CT101)",1.299,0.3547,23.30,135.55,292.43,20.84,Y,,208115,278.65,0.0129,,60600
"214869 (2007 PA8)",2.849,0.6530,2.00,141.30,293.85,16.51,Y,,214869,175.77,0.0304,,60600
"215588 (2003 HF2)",1.114,0.6755,3.06,189.88,231.04,19.42,Y,,215588,195.33,0.00324,0.488,60600
"216115 (2006 SU19)",1.527,0.5864,2.09,152.22,10.63,18.94,Y,,216115,92.91,0.0351,,60600
"216258 (2006 WH1)",1.671,0.4849,2.63,240.31,263.68,20.33,Y,,216258,65.58,0.0237,,60600
"216985 (2000 QK130)",1.181,0.2620,4.72,173.81,66.40,21.34,Y,,216985,358.14,0.000899,,60600
"217430 (2005 SN25)",1.23,0.2706,13.01,168.27,45.20,19.64,Y,,217430,121.18,0.0263,,60600
"217628 Lugh (1990 HA)",2.527,0.7115,4.44,177.75,316.15,16.68,Y,,217628,160.51,0.0334,1.4,60600
"220839 (2004 VA)",1.901,0.5949,3.69,109.45,43.48,17.46,Y,,220839,180.72,0.0231,,60600
"221455 (2006 BC10)",2.017,0.6577,0.92,21.04,234.30,19.52,Y,,221455,142.51,0.00609,,60600
"221980 (1996 EO)",1.342,0.4008,21.59,356.46,64.69,19.11,Y,,221980,213.52,0.0336,0.432,60600
"226514 (2003 UX34)",1.095,0.6159,2.56,4.30,218.58,20.20,Y,,226514,241.15,0.0151,,60600
"226554 (2003 WR21)",1.118,0.2615,9.27,85.76,108.11,19.62,Y,,226554,123.09,0.0295,0.482,60600
"228368 (2000 WK10)",1.479,0.7020,14.73,57.93,244.51,18.63,Y,,228368,150.90,0.0226,,60600
"230549 (2003 BH)",1.457,0.3561,13.11,119.76,313.41,20.78,Y,,230549,158.58,0.0292,0.217,60600
"231937 (2001 FO32)",1.699,0.8258,39.01,181.71,123.36,17.58,Y,,231937,202.09,0.00208,0.55,60600
"232691 (2004 AR1)",1.576,0.4695,9.08,336.51,50.31,19.86,Y,,232691,206.69,0.0313,,60600
"235756 (2004 VC)",1.133,0.2589,39.15,194.16,94.18,18.58,Y,,235756,257.83,0.0354,1.136,60600
"242450 (2004 QY2)",1.084,0.4772,37.03,295.27,104.98,14.65,Y,,242450,234.73,0.0462,2.914,60600
"242643 (2005 NZ6)",1.833,0.8652,8.41,38.79,48.96,17.38,Y,,242643,237.52,0.00589,1.989,60600
"242708 (2005 UK1)",2.501,0.6953,0.79,180.30,345.94,18.12,Y,,242708,238.37,0.0109,,60600
"243566 (1995 SA)",2.463,0.6420,19.58,169.02,54.30,17.37,Y,,243566,255.75,0.0407,0.881,60600
"244977 (2004 BE68)",1.761,0.4446,15.74,210.88,191.28,18.48,Y,,244977,343.49,0.0107,0.495,60600
"247360 (2001 XU)",2.573,0.8366,19.07,260.98,286.06,19.36,Y,,247360,181.52,0.00607,,60600
"250620 (2005 GE59)",2.109,0.6025,16.08,194.74,243.02,18.07,Y,,250620,196.79,0.0319,0.654,60600
"250706 (2005 RR6)",2.957,0.7011,6.93,27.27,59.96,18.55,Y,,250706,258.29,0.034,0.535,60600
"251346 (2007 SJ)",2.015,0.5332,8.18,306.76,175.25,16.89,Y,,251346,271.06,0.0405,,60600
"251722 (1997 US2)",1.675,0.6608,3.17,65.89,100.33,19.82,Y,,251722,115.60,0.00639,,60600
"253841 (2003 YG118)",2.28,0.6461,8.03,347.42,233.54,17.28,Y,,253841,330.41,0.0104,,60600
"255071 (2005 UH6)",1.001,0.6325,2.64,19.29,200.25,18.36,Y,,255071,53.56,0.0233,,60600
"260141 (2004 QT24)",1.133,0.2519,17.75,36.10,76.64,18.31,Y,,260141,130.60,0.00771,,60600
"263976 (2009 KD5)",1.046,0.2615,13.47,104.49,294.37,18.40,Y,,263976,26.87,0.0492,0.785,60600
"264993 (2003 DX10)",1.375,0.4108,3.15,61.75,194.06,20.42,Y,,264993,95.46,0.0445,,60600
"265196 (2004 BW58)",1.455,0.3787,15.21,132.61,301.85,18.84,Y,,265196,328.22,0.0389,0.361,60600
"265482 (2005 EE)",1.129,0.3277,6.17,110.78,284.75,21.21,Y,,265482,214.47,0.0181,,60600
"267131 (2000 EK26)",2.41,0.6573,15.65,126.39,305.54,18.21,Y,,267131,240.69,0.00385,,60600
"267221 (2001 AD2)",1.04,0.6598,1.64,210.54,111.95,19.85,Y,,267221,235.31,0.00821,0.562,60600
"267337 (2001 VK5)",1.269,0.5140,19.43,54.22,263.93,18.06,Y,,267337,64.72,0.00065,0.439,60600
"267494 (2002 JB9)",2.719,0.7843,46.76,70.21,278.00,16.18,Y,,267494,341.38,0.0305,,60600
"267720 (2003 CA)",1.379,0.7196,21.15,126.17,234.82,18.93,Y,,267720,185.74,0.0493,,60600
"267729 (2003 FC5)",1.917,0.6087,5.83,188.76,271.26,18.46,Y,,267729,64.82,0.0332,,60600
"269690 (1996 RG3)",2.001,0.6037,3.58,158.05,300.27,18.47,Y,,269690,297.31,0.0022,0.888,60600
"275677 (2000 RS11)",1.28,0.3205,17.10,172.16,301.69,19.22,Y,,275677,146.18,0.00716,,60600
"276033 (2002 AJ129)",1.37,0.9149,15.44,138.01,211.04,18.78,Y,,276033,85.46,0.00568,,60600
"277475 (2005 WK4)",1.011,0.2374,9.84,138.11,74.13,20.22,Y,,277475,83.30,0.00371,,60600
"277570 (2005 YP180)",1.372,0.6170,4.11,288.91,92.47,19.34,Y,,277570,276.63,0.0162,0.439,60600
"279744 (1998 KM3)",1.67,0.6108,4.66,263.02,85.36,19.86,Y,,279744,37.82,0.00233,,60600
"279816 (2000 JE5)",1.238,0.4006,50.74,41.23,285.16,19.27,Y,,279816,202.01,0.0463,,60600
"286080 (2001 TX1)",1.047,0.4825,2.80,159.14,354.18,21.24,Y,,286080,86.91,0.0424,,60600
"288807 (2004 RW164)",1.49,0.3766,36.78,164.93,342.88,18.46,Y,,288807,246.85,0.0497,,60600
"289315 (2005 AN26)",2.32,0.6379,4.92,175.79,208.49,18.51,Y,,289315,238.91,0.0384,,60600
"290772 (2005 VC)",2.085,0.5929,4.49,227.79,290.38,17.47,Y,,290772,27.83,0.0206,,60600
"292220 (2006 SU49)",1.412,0.3117,2.52,303.06,199.10,19.39,Y,,292220,153.84,0.000603,,60600
"294739 (2008 CM)",1.566,0.4080,36.01,279.54,130.69,17.04,Y,,294739,196.87,0.0447,0.740,60600
"297274 (1996 SK)",2.445,0.7905,1.97,195.51,286.33,16.93,Y,,297274,113.57,0.00627,1.199,60600
"297300 (1998 SC15)",1.273,0.4144,16.08,198.68,277.49,19.29,Y,,297300,337.60,0.000468,0.320,60600
"301844 (1990 UA)",1.642,0.5260,0.93,104.28,202.58,19.71,Y,,301844,87.51,0.012,0.4,60600
"302831 (2003 FH)",1.389,0.5406,25.80,24.12,274.37,19.12,Y,,302831,5.07,0.0146,,60600
"303450 (2005 BY2)",1.269,0.3306,7.29,74.44,130.28,20.55,Y,,303450,240.46,0.0404,0.187,60600
"304330 (2006 SX217)",1.412,0.3103,21.04,32.60,176.24,18.90,Y,,304330,92.72,0.0293,0.780,60600
"307005 (2001 XP1)",2.89,0.7528,39.21,268.07,246.31,18.14,Y,,307005,215.45,0.0169,,60600
"308635 (2005 YU55)",1.157,0.4305,0.34,35.93,273.56,21.91,Y,-0.12,308635,189.35,0.000429,0.4,60600
"310560 (2001 QL142)",1.049,0.4991,26.60,165.55,72.15,17.80,Y,,310560,267.48,0.0482,0.654,60600
"311044 (2004 BB103)",1.908,0.6220,55.86,271.07,71.49,17.11,Y,,311044,332.19,0.0331,,60600
"311066 (2004 DC)",1.634,0.3996,19.46,74.90,156.37,18.29,Y,,311066,296.12,0.00784,,60600
"314082 Dryope (2005 CZ36)",2.235,0.5766,16.18,116.62,139.53,17.50,Y,,314082,272.32,0.0158,,60600
"314212 (2005 NJ1)",2.132,0.6511,6.46,316.16,82.62,18.57,Y,,314212,45.75,0.0229,,60600
"317255 (2002 DJ5)",1.401,0.5678,6.43,347.86,296.19,19.87,Y,,317255,161.26,0.0402,,60600
"329614 (2003 KU2)",2.69,0.6770,5.40,105.21,246.81,17.79,Y,,329614,272.06,0.027,,60600
"330233 (2006 KV86)",1.543,0.3740,37.08,220.04,153.86,18.82,Y,,330233,90.72,0.00149,,60600
"331876 (2004 CL)",1.284,0.5362,13.31,109.39,274.69,20.56,Y,,331876,123.38,0.0224,,60600
"332446 (2008 AF4)",1.38,0.4101,8.93,109.31,293.35,19.69,Y,,332446,146.62,0.00212,,60600
"333521 (2005 PO)",1.252,0.3731,12.51,300.48,249.55,20.08,Y,,333521,346.44,0.0167,,60600
"333578 (2006 KM103)",1.573,0.3766,11.68,169.45,197.03,20.20,Y,,333578,35.66,0.0128,0.204,60600
"337075 (1998 QC1)",1.984,0.5901,9.65,308.34,115.47,19.81,Y,,337075,101.77,0.018,,60600
"337558 (2001 SG262)",1.962,0.5829,4.82,359.03,100.26,19.44,Y,,337558,115.78,0.0304,,60600
"342866 (2008 YU32)",1.537,0.5955,3.41,232.57,83.97,20.24,Y,,342866,142.65,0.00636,,60600
"344076 (1998 HJ3)",1.985,0.7463,6.56,223.55,94.19,18.99,Y,,344076,137.52,0.0108,,60600
"348314 (2005 BC)",1.19,0.2781,30.12,292.45,84.20,18.01,Y,,348314,123.73,0.0458,,60600
"349068 (2006 YT13)",1.323,0.4258,38.24,116.69,105.45,18.34,Y,,349068,205.04,0.0368,0.496,60600
"349507 (2008 QY)",1.168,0.5817,13.56,1.91,254.90,18.50,Y,,349507,338.34,0.0307,,60600
"350523 (2000 EA14)",1.117,0.2026,3.56,203.83,206.06,21.16,Y,,350523,39.54,0.0434,,60600
"350751 (2002 AW)",1.072,0.2567,0.57,161.76,119.33,20.82,Y,,350751,42.35,0.00488,,60600
"352102 (2007 AG12)",2.09,0.6565,41.97,305.39,68.23,19.35,Y,,352102,354.95,0.0473,,60600
"354182 (2002 DU3)",1.145,0.2383,8.71,0.61,245.59,20.77,Y,,354182,102.40,0.00623,,60600
"356991 (1998 QA1)",2.102,0.5339,8.19,298.85,333.15,19.07,Y,,356991,223.83,0.00197,,60600
"357022 (1999 YG3)",1.285,0.3295,34.52,293.25,250.24,19.07,Y,,357022,318.54,0.0427,0.432,60600
"357024 (1999 YR14)",1.651,0.4000,3.73,2.98,9.70,19.47,Y,,357024,285.74,0.0065,0.255,60600
"357028 (2000 EJ26)",1.383,0.6147,9.23,10.48,285.90,19.46,Y,,357028,347.63,0.008,,60600
"357439 (2004 BL86)",1.502,0.4025,23.78,126.65,311.51,19.29,Y,,357439,120.93,0.00891,,60600
"357594 (2004 XL35)",1.355,0.2784,27.30,73.75,356.21,19.64,Y,,357594,210.77,0.00644,,60600
"357622 (2005 EY95)",1.084,0.5384,3.17,72.86,342.14,20.32,Y,,357622,197.54,0.0401,,60600
"358471 (2007 NS4)",1.875,0.5972,5.78,10.96,47.58,19.18,Y,,358471,213.25,0.0387,,60600
"358744 (2008 CR118)",1.842,0.5118,3.92,121.42,157.22,18.99,Y,,358744,180.30,0.0286,,60600
"359170 (2009 CN5)",1.545,0.4655,11.91,349.71,53.25,19.95,Y,,359170,97.78,0.0347,,60600
"359369 (2009 YG)",2.15,0.6960,3.38,138.62,67.77,18.52,Y,,359369,237.63,0.0116,,60600
"360191 (1988 TA)",1.54,0.4786,2.53,194.65,105.26,21.08,Y,,360191,329.39,0.0058,0.4,60600
"361754 (2007 YV29)",1.373,0.3568,21.88,59.30,321.87,19.18,Y,,361754,201.77,0.0463,,60600
"363024 (1998 OK1)",1.356,0.4293,13.99,109.64,298.64,19.42,Y,,363024,160.98,0.0394,0.558,60600
"363067 (2000 CO101)",1.076,0.0901,15.32,353.03,64.95,19.21,Y,,363067,125.28,0.0224,,60600
"363116 (2001 GQ2)",1.214,0.5030,21.82,37.11,280.30,20.32,Y,,363116,153.15,0.00439,,60600
"363305 (2002 NV16)",1.239,0.2208,3.50,183.26,179.24,21.41,Y,,363305,12.50,0.0282,,60600
"363344 (2002 QC7)",1.169,0.1960,26.80,336.01,184.47,19.98,Y,,363344,354.54,0.0476,,60600
"363599 (2004 FG11)",1.587,0.7236,3.14,83.45,228.81,21.04,Y,,363599,69.50,0.0204,0.152,60600
"363734 (2004 XN50)",1.681,0.7782,3.31,62.40,253.41,18.82,Y,,363734,55.37,0.00826,,60600
"363790 (2005 JE46)",1.903,0.5523,8.27,238.33,114.77,17.85,Y,,363790,90.46,0.029,,60600
"363831 (2005 PY16)",1.976,0.5250,6.41,159.31,193.53,19.35,Y,,363831,327.45,0.0418,0.371,60600
"365014 (2008 OX2)",1.048,0.6019,6.65,220.11,252.03,20.10,Y,,365014,293.32,0.0322,,60600
"365071 (2009 AV)",1.03,0.0739,45.87,150.73,322.13,18.18,Y,,365071,79.79,0.0195,0.674,60600
"366746 (2004 LJ)",1.087,0.4614,18.28,246.69,256.10,20.16,Y,,366746,52.20,0.027,,60600
"366774 (2004 TB18)",1.815,0.4507,13.20,120.98,13.18,17.87,Y,,366774,10.58,0.021,0.859,60600
"367248 (2007 MK13)",1.025,0.1397,19.88,95.08,259.97,20.21,Y,,367248,185.35,0.0322,0.386,60600
"367789 (2011 AG5)",1.424,0.3882,3.69,135.59,54.05,21.77,Y,,367789,336.11,0.000169,,60600
"368203 (2001 KO2)",2.479,0.6177,12.46,242.30,328.84,20.56,Y,,368203,339.25,0.00555,,60600
"368565 (2004 FE5)",1.245,0.6005,18.30,189.40,243.47,20.09,Y,,368565,337.80,0.0355,,60600
"369057 (2008 DK5)",1.555,0.6151,4.27,345.62,81.00,21.32,Y,,369057,237.26,0.00882,,60600
"369264 (2009 MS)",2.005,0.5700,52.38,252.05,219.54,16.34,Y,,369264,269.44,0.043,1.515,60600
"371660 (2007 CN26)",1.292,0.2693,7.59,159.27,135.69,21.11,Y,,371660,231.68,0.00234,0.230,60600
"373135 (2011 SD173)",1.653,0.4974,4.39,203.12,59.49,19.52,Y,,373135,122.83,0.00161,1.050,60600
"374038 (2004 HW)",2.691,0.6353,0.83,219.87,62.78,17.20,Y,,374038,223.39,0.00924,,60600
"374158 (2004 UL)",1.266,0.9266,23.85,39.47,149.68,18.67,Y,,374158,319.04,0.0173,,60600
"374851 (2006 VV2)",2.387,0.6054,23.73,9.82,145.04,16.72,Y,,374851,280.26,0.012,,60600
"374855 (2006 VQ13)",1.099,0.4458,16.70,233.68,73.80,20.11,Y,,374855,251.14,0.00858,,60600
"375054 (2007 PF6)",1.298,0.4164,25.60,316.33,251.27,20.81,Y,,375054,279.71,0.0294,,60600
"375103 (2007 TD71)",1.286,0.2799,49.75,49.58,220.75,18.50,Y,,375103,308.16,0.0293,,60600
"377097 (2002 WQ4)",1.958,0.5564,3.94,266.87,244.62,19.69,Y,,377097,320.91,0.0194,,60600
"377732 (2005 XJ8)",1.931,0.6204,23.56,115.79,67.46,17.07,Y,,377732,337.57,0.0148,0.986,60600
"378358 (2007 LD)",1.726,0.4393,16.51,226.16,316.98,19.32,Y,,378358,257.82,0.0381,,60600
"381906 (2010 CL19)",1.543,0.6455,7.31,243.78,76.82,17.80,Y,,381906,271.11,0.0114,0.520,60600
"382395 (1990 SM)",2.106,0.7639,11.61,136.17,107.74,16.46,Y,,382395,81.91,0.0319,,60600
"382406 (1996 AJ1)",1.31,0.7814,2.54,90.94,238.33,20.57,Y,,382406,121.03,0.00487,,60600
"382745 (2003 CC)",1.501,0.3268,2.32,136.29,103.24,20.41,Y,,382745,225.18,0.0364,,60600
"382758 (2003 GY)",1.38,0.3172,4.67,321.79,334.15,20.19,Y,,382758,36.00,0.0228,,60600
"382825 (2003 XB22)",1.405,0.3935,29.96,108.76,118.29,19.30,Y,,382825,94.91,0.0127,,60600
"385252 (2001 EB18)",1.053,0.1837,50.06,155.46,101.92,19.41,Y,,385252,231.63,0.0287,,60600
"385343 (2002 LV)",2.314,0.6052,29.53,132.15,224.23,16.56,Y,,385343,100.45,0.00784,1.359,60600
"385605 (2005 EJ225)",1.706,0.5736,8.86,341.99,290.71,18.95,Y,,385605,230.95,0.0176,,60600
"386454 (2008 XM)",1.222,0.9093,5.45,240.61,27.39,20.03,Y,,386454,301.03,0.00469,0.367,60600
"386847 (2010 LR33)",1.692,0.4625,5.83,352.07,333.22,18.06,Y,,386847,169.15,0.029,0.663,60600
"387505 (1998 KN3)",1.542,0.8734,2.29,313.24,71.25,18.78,Y,,387505,248.78,0.0182,1.060,60600
"387668 (2002 SZ)",1.297,0.4335,22.89,346.84,276.56,20.51,Y,,387668,22.88,0.00223,,60600
"387746 (2003 MH4)",1.964,0.5133,3.90,259.55,323.53,20.10,Y,,387746,287.43,0.00335,0.366,60600
"388188 (2006 DP14)",1.365,0.7762,11.77,317.11,59.34,19.00,Y,,388188,277.05,0.0162,,60600
"388945 (2008 TZ3)",1.592,0.3919,8.69,43.95,219.68,20.45,Y,,388945,61.87,0.0176,,60600
"389694 (2011 QD48)",1.545,0.4921,19.07,358.79,106.79,18.20,Y,,389694,216.68,0.02,0.451,60600
"390929 (2005 GP21)",1.308,0.2246,18.80,9.99,1.42,20.44,Y,,390929,195.68,0.014,,60600
"395207 (2010 HQ80)",1.568,0.4893,27.85,218.47,66.30,19.62,Y,,395207,79.78,0.00659,0.724,60600
"399457 (2002 PD43)",2.507,0.9563,25.94,315.04,210.99,19.30,Y,,399457,223.99,0.0266,,60600
"399774 (2005 NB7)",2.044,0.5174,12.70,199.16,348.16,18.80,Y,,399774,237.64,0.00571,,60600
"401856 (2000 KW43)",1.452,0.4779,24.27,82.62,63.60,20.27,Y,,401856,18.63,0.0454,,60600
"405212 (2003 QC10)",1.373,0.7313,5.04,359.96,120.87,18.04,Y,,405212,17.92,0.00167,,60600
"405762 (2005 YO180)",1.481,0.4480,5.77,7.72,87.75,20.29,Y,,405762,181.60,0.0376,,60600
"406213 (2007 AB2)",1.919,0.5457,1.46,126.84,280.93,20.34,Y,,406213,265.78,0.0131,,60600
"408792 (2000 GF2)",1.341,0.3777,9.63,176.01,108.10,20.56,Y,,408792,243.93,0.0108,,60600
"409836 (2006 QY110)",1.924,0.5741,6.40,222.61,221.63,18.07,Y,,409836,261.88,0.0318,0.554,60600
"410627 (2008 RG1)",1.316,0.4431,13.09,347.79,257.45,20.89,Y,,410627,298.99,0.0127,,60600
"410778 (2009 FG19)",2.912,0.7191,54.50,187.51,120.40,18.14,Y,,410778,17.41,0.0256,1.457,60600
"413989 (2007 EL88)",1.12,0.5218,30.84,198.44,116.16,19.07,Y,,413989,235.72,0.0367,,60600
"414287 (2008 OB9)",3.203,0.7597,13.50,202.70,238.56,17.73,Y,,414287,262.76,0.0123,1.974,60600
"414990 (2011 EM51)",1.321,0.3353,1.86,134.15,142.26,21.90,Y,,414990,285.47,0.013,,60600
"415029 (2011 UL21)",2.123,0.6536,34.89,275.32,285.00,15.94,Y,,415029,50.22,0.0181,,60600
"415745 (2000 GV147)",1.747,0.4570,10.56,68.64,216.11,19.34,Y,,415745,194.22,0.00187,,60600
"416151 (2002 RQ25)",1.112,0.3064,4.57,10.46,225.74,20.68,Y,,416151,34.37,0.0499,,60600
"416195 (2002 TR190)",1.077,0.1599,26.92,24.21,104.79,19.44,Y,,416195,171.49,0.00678,,60600
"416591 (2004 LC2)",1.865,0.7347,10.98,84.25,290.72,18.66,Y,,416591,333.82,0.0284,,60600
"416801 (2005 GC120)",1.193,0.4974,16.54,67.93,258.31,19.65,Y,,416801,273.19,0.00586,0.906,60600
"417211 (2005 XL80)",1.727,0.4872,10.91,53.31,143.78,18.25,Y,,417211,63.13,0.0419,,60600
"417612 (2006 WQ29)",1.601,0.3938,8.07,111.97,136.61,18.44,Y,,417612,114.76,0.0208,,60600
"417634 (2006 XG1)",2.458,0.5958,20.50,38.46,344.14,18.57,Y,,417634,232.29,0.0148,0.418,60600
"417816 (2007 FA)",1.25,0.2657,16.33,156.40,135.44,20.27,Y,,417816,132.23,0.0278,,60600
"417871 (2007 MB24)",1.876,0.6999,47.71,271.11,269.13,18.32,Y,,417871,288.97,0.0265,,60600
"417949 (2007 TB23)",1.262,0.1977,38.29,40.10,173.86,18.74,Y,,417949,173.05,0.00795,,60600
"418094 (2007 WV4)",1.486,0.4407,38.34,249.86,297.67,19.67,Y,,418094,50.43,0.0162,0.890,60600
"418135 (2008 AG33)",1.459,0.3367,16.01,38.29,155.54,19.36,Y,,418135,156.61,0.0144,,60600
"418416 (2008 LV16)",2.089,0.6255,4.72,236.47,121.97,20.30,Y,,418416,125.34,0.00624,,60600
"418849 (2008 WM64)",1.006,0.1064,33.52,91.43,256.77,20.47,Y,,418849,5.97,0.0356,,60600
"419472 (2010 DW1)",1.225,0.2002,23.77,157.11,9.65,19.99,Y,,419472,286.45,0.00625,0.459,60600
"419624 (2010 SO16)",1.004,0.0754,14.51,40.35,109.24,20.44,Y,,419624,202.51,0.0307,0.357,60600
"419880 (2011 AH37)",2.548,0.6721,9.66,102.04,322.40,19.83,Y,,419880,156.59,0.0348,0.982,60600
"420210 (2011 HF)",1.284,0.2346,10.62,204.88,149.66,20.44,Y,,420210,327.18,0.0106,,60600
"422699 (2000 PD3)",1.999,0.5920,7.70,298.64,110.23,18.28,Y,,422699,171.27,0.0274,0.619,60600
"422787 (2001 WS1)",2.591,0.6184,13.24,1.29,5.23,17.03,Y,,422787,175.00,0.0124,,60600
"423709 (2006 BQ6)",1.472,0.4049,13.00,307.62,304.80,19.75,Y,,423709,96.61,0.00933,,60600
"424482 (2008 DG5)",1.255,0.2426,5.71,244.01,59.72,19.68,Y,,424482,166.89,0.0193,,60600
"428209 (2006 VC)",1.942,0.4920,12.25,87.53,19.22,20.12,Y,,428209,207.28,0.0195,,60600
"429094 (2009 SG2)",1.121,0.1702,25.98,9.07,252.98,20.06,Y,,429094,327.80,0.0373,,60600
"429584 (2011 EU29)",2.503,0.6999,2.57,177.14,251.23,19.80,Y,,429584,175.49,0.00327,,60600
"430440 (2000 OH)",2.421,0.5931,18.75,283.62,355.55,17.67,Y,,430440,156.99,0.0293,,60600
"430544 (2002 GM2)",2.201,0.8068,3.35,338.95,84.77,18.76,Y,,430544,355.67,0.011,,60600
"430804 (2005 AD13)",1.949,0.7549,12.38,102.74,263.66,17.89,Y,,430804,115.72,0.0174,,60600
"433953 (1997 XR2)",1.076,0.2008,7.19,250.66,84.65,20.96,Y,,433953,91.54,0.000622,0.259,60600
"434096 (2002 GO5)",1.896,0.7679,13.77,22.60,65.35,18.15,Y,,434096,244.76,0.0319,0.528,60600
"434188 (2003 AD23)",1.645,0.7627,23.34,101.48,241.67,19.09,Y,,434188,152.29,0.0329,,60600
"434196 (2003 HG2)",1.062,0.1346,19.78,214.24,225.40,21.61,Y,,434196,345.51,0.0398,,60600
"434633 (2005 WB1)",1.264,0.3554,22.88,61.41,265.73,20.67,Y,,434633,164.11,0.0478,0.310,60600
"434677 (2006 BZ7)",1.49,0.3665,68.42,262.95,188.79,17.46,Y,,434677,101.09,0.0369,,60600
"434734 (2006 FX)",1.495,0.4380,24.64,181.15,299.49,20.02,Y,,434734,83.19,0.00057,,60600
"435159 (2007 LQ19)",2.605,0.6299,17.06,110.83,207.69,17.14,Y,,435159,40.28,0.00569,,60600
"435548 (2008 QT3)",2.012,0.5285,7.25,271.90,160.98,18.87,Y,,435548,196.12,0.011,,60600
"436329 (2010 GX62)",2.971,0.6990,21.83,206.93,317.00,20.09,Y,,436329,316.16,0.00282,0.622,60600
"436724 (2011 UW158)",1.621,0.3765,4.57,285.95,8.82,19.98,Y,,436724,174.09,0.00175,,60600
"436774 (2012 KY3)",1.232,0.4864,21.39,21.51,87.25,18.41,Y,,436774,78.98,0.0229,,60600
"437905 (2001 XU30)",2.198,0.6637,8.93,72.00,107.12,19.98,Y,,437905,348.02,0.00449,,60600
"438105 (2005 GO22)",1.914,0.8234,1.56,61.76,19.09,18.77,Y,,438105,153.06,0.0186,,60600
"438661 (2008 EP6)",1.209,0.2932,17.72,303.22,130.30,19.23,Y,,438661,231.82,0.0463,,60600
"438908 (2009 XO)",1.859,0.5434,0.35,27.95,140.52,20.63,Y,,438908,287.57,0.00184,,60600
"438955 (2010 LN14)",1.154,0.4746,1.47,342.96,33.25,21.01,Y,,438955,138.77,0.0181,,60600
"439313 (2012 VE82)",2.11,0.5437,9.92,110.40,186.45,19.66,Y,,439313,12.64,0.0481,,60600
"439437 (2013 NK4)",1.023,0.5499,6.55,33.70,50.57,18.94,Y,,439437,233.00,0.0154,,60600
"439877 (1999 XM141)",1.236,0.3691,21.62,72.98,105.80,19.69,Y,,439877,337.80,0.0326,,60600
"440212 (2004 OB)",1.681,0.4304,3.44,174.52,223.35,18.96,Y,,440212,55.29,0.0116,,60600
"441641 (2008 WZ13)",1.995,0.5625,8.20,51.73,133.93,18.62,Y,,441641,165.73,0.0123,,60600
"441987 (2010 NY65)",1.003,0.3701,11.54,267.92,252.07,21.36,Y,,441987,175.65,0.0171,0.228,60600
"442037 (2010 PR66)",2.927,0.6872,17.60,292.75,319.52,19.27,Y,,442037,310.29,0.000703,0.695,60600
"442523 (2011 WU95)",1.667,0.4245,6.72,67.67,242.41,19.51,Y,,442523,75.48,0.0482,,60600
"443103 (2013 WT67)",1.035,0.1922,21.47,322.75,99.03,17.97,Y,,443103,159.08,0.0137,,60600
"443806 (1998 FL3)",1.26,0.2478,26.39,180.10,121.34,21.72,Y,,443806,192.54,0.0402,0.288,60600
"443880 (2001 UZ16)",1.76,0.4263,12.67,323.10,28.63,19.38,Y,,443880,320.12,0.0308,0.228,60600
"444004 (2004 AS1)",1.07,0.1744,17.21,322.53,262.12,20.67,Y,,444004,174.80,0.024,,60600
"444193 (2005 SE71)",1.069,0.1944,24.83,39.10,78.29,18.19,Y,,444193,22.73,0.00214,0.437,60600
"444584 (2006 UK)",1.494,0.5389,4.75,243.92,252.35,20.25,Y,,444584,255.97,0.014,,60600
"445305 (2010 DM56)",1.306,0.2927,25.60,349.61,48.17,19.71,Y,,445305,350.69,0.00644,0.762,60600
"445974 (2013 BJ18)",1.478,0.3640,3.71,90.82,159.61,20.29,Y,,445974,98.51,0.025,,60600
"446791 (1998 SJ70)",2.237,0.7056,7.30,21.43,246.99,18.52,Y,,446791,304.35,0.0271,,60600
"446862 (2001 VB76)",1.459,0.3483,4.24,259.39,248.50,20.54,Y,,446862,307.50,0.0429,,60600
"447755 (2007 JX2)",1.708,0.5261,4.22,44.31,87.95,19.77,Y,,447755,320.24,0.0324,,60600
"448003 (2008 DE)",1.714,0.4140,14.77,55.91,179.20,19.64,Y,,448003,114.00,0.00495,,60600
"448721 (2011 BN24)",1.544,0.4125,3.94,195.74,61.85,20.98,Y,,448721,328.23,0.0163,,60600
"450142 (1998 XN2)",1.998,0.5420,1.79,255.19,127.00,19.88,Y,,450142,66.15,0.00817,,60600
"450263 (2003 WD158)",1.426,0.4091,16.73,92.20,102.39,18.85,Y,,450263,17.09,0.0476,,60600
"450270 (2004 AE)",1.432,0.3326,18.72,307.56,193.19,20.60,Y,,450270,30.60,0.0213,,60600
"450293 (2004 LV3)",1.231,0.2757,35.34,273.47,121.35,18.83,Y,,450293,237.45,0.0115,,60600
"450894 (2008 BT18)",2.22,0.5946,8.15,107.53,139.40,18.17,Y,,450894,338.58,0.0124,,60600
